name,category,confidence,notes
World of Warcraft,MMO / Live Service,high,Ongoing MMO with no ending
Final Fantasy XIV,MMO / Live Service,high,MMO with story arcs but no final ending; perpetual live service
Guild Wars 2,MMO / Live Service,high,Ongoing MMO
The Elder Scrolls Online,MMO / Live Service,high,Ongoing MMO
Eve Online,MMO / Live Service,high,Player-driven sandbox MMO with no ending
RuneScape,MMO / Live Service,high,Ongoing MMO since 2001
Old School RuneScape,MMO / Live Service,high,Classic MMO with no ending
Destiny 2,MMO / Live Service,high,Live service looter shooter; seasonal content with no final ending
Star Wars: The Old Republic,MMO / Live Service,high,Ongoing MMO
Black Desert Online,MMO / Live Service,high,Sandbox MMO with no ending
Lost Ark,MMO / Live Service,high,MMO with endless endgame grind
New World,MMO / Live Service,high,MMO with no ending
Warframe,MMO / Live Service,high,Live service looter shooter; no ending
Path of Exile,MMO / Live Service,high,Live service ARPG with seasonal leagues; no ending
Path of Exile 2,MMO / Live Service,high,Live service ARPG; no ending
Diablo IV,MMO / Live Service,high,Campaign is completable but primary mode is endless seasonal live service
The Division 2,MMO / Live Service,high,Campaign completable but live service endgame is primary mode
Phantasy Star Online 2,MMO / Live Service,high,Ongoing MMO
MapleStory,MMO / Live Service,high,Long-running MMO with no ending
Albion Online,MMO / Live Service,high,Sandbox MMO with no ending
Neverwinter,MMO / Live Service,high,MMO with no ending
TERA,MMO / Live Service,high,MMO with no ending (shut down in some regions)
ArcheAge,MMO / Live Service,high,Sandbox MMO
Blade & Soul,MMO / Live Service,high,MMO with no ending
Star Trek Online,MMO / Live Service,high,MMO with no ending
Lord of the Rings Online,MMO / Live Service,high,MMO with no ending
DC Universe Online,MMO / Live Service,high,MMO with no ending
Genshin Impact,MMO / Live Service,high,Live service gacha; ongoing story with no conclusion in sight
Honkai: Star Rail,MMO / Live Service,high,Live service gacha with ongoing story
Wuthering Waves,MMO / Live Service,high,Live service gacha
Tower of Fantasy,MMO / Live Service,high,Live service MMO gacha
Zenless Zone Zero,MMO / Live Service,high,Live service gacha
Anthem,MMO / Live Service,high,Live service (abandoned but no ending existed)
The Crew 2,MMO / Live Service,high,Always-online open world racing with no ending
The Crew Motorfest,MMO / Live Service,high,Always-online open world racing with no ending
Elite Dangerous,MMO / Live Service,high,Open-ended space sim MMO
No Man's Sky,MMO / Live Service,medium,"Has a ""center of the galaxy"" goal but primary play is endless exploration/building"
Sea of Thieves,MMO / Live Service,high,Live service multiplayer pirate sandbox; no ending
Fallout 76,MMO / Live Service,high,Live service MMO with no traditional ending
Skull and Bones,MMO / Live Service,high,Live service with no ending
The First Descendant,MMO / Live Service,high,Live service looter shooter
Helldivers 2,MMO / Live Service,high,Live service co-op shooter with no ending
Deep Rock Galactic,MMO / Live Service,medium,Mission-based co-op with no ending; some consider mastery milestones
Monster Hunter: World,MMO / Live Service,medium,Credits roll after main story but endgame is the real game; borderline
Fortnite,Battle Royale,high,Battle royale / live service with no ending
PUBG: Battlegrounds,Battle Royale,high,Battle royale with no ending
Apex Legends,Battle Royale,high,Battle royale with no ending
Call of Duty: Warzone,Battle Royale,high,Battle royale with no ending
Call of Duty: Warzone 2.0,Battle Royale,high,Battle royale with no ending
Naraka: Bladepoint,Battle Royale,high,Battle royale with no ending
Fall Guys,Battle Royale,high,Party battle royale with no ending
Spellbreak,Battle Royale,high,Battle royale (shut down) with no ending
Hyper Scape,Battle Royale,high,Battle royale (shut down) with no ending
Super People,Battle Royale,high,Battle royale with no ending
The Finals,Battle Royale,high,Multiplayer shooter with no ending
Vampire: The Masquerade - Bloodhunt,Battle Royale,high,Battle royale with no ending
Cuisine Royale / CRSED: F.O.A.D.,Battle Royale,high,Battle royale with no ending
Darwin Project,Battle Royale,high,Battle royale (shut down) with no ending
Realm Royale,Battle Royale,high,Battle royale with no ending
Ring of Elysium,Battle Royale,high,Battle royale with no ending
Minecraft,Sandbox / Creative,medium,"Ender Dragon is a boss but not a traditional ending; most players never ""finish"" it; creative mode is purely endless"
Roblox,Sandbox / Creative,high,Platform of user-created games; no ending
Garry's Mod,Sandbox / Creative,high,Sandbox with no ending
Terraria,Sandbox / Creative,medium,"Has boss progression and ""final"" bosses but many consider it endless sandbox"
Dreams,Sandbox / Creative,high,Creation platform with no ending
LittleBigPlanet 3,Sandbox / Creative,medium,Has story mode but primary appeal is endless user-created content
LEGO Worlds,Sandbox / Creative,high,Sandbox building with no ending
Trove,Sandbox / Creative,high,MMO sandbox with no ending
Creativerse,Sandbox / Creative,high,Sandbox building with no ending
Space Engineers,Sandbox / Creative,high,Sandbox engineering sim with no ending
Empyrion - Galactic Survival,Sandbox / Creative,high,Sandbox survival with no ending
Astroneer,Sandbox / Creative,medium,Has progression goals but no traditional ending
Satisfactory,Sandbox / Creative,medium,Factory builder with progression tiers but no credits/ending
Factorio,Sandbox / Creative,medium,"Launching a rocket is a ""win"" but most players continue indefinitely; freeplay is primary"
Core Keeper,Sandbox / Creative,medium,Has bosses and progression but no definitive ending
Vintage Story,Sandbox / Creative,high,Open-ended survival sandbox
Eco,Sandbox / Creative,high,Sandbox ecosystem sim with no ending
EA Sports FC 25,Sports / Racing,high,Annual sports title; no ending
EA Sports FC 24,Sports / Racing,high,Annual sports title; no ending
FIFA 23,Sports / Racing,high,Annual sports title; no ending
FIFA 22,Sports / Racing,high,Annual sports title; no ending
FIFA 21,Sports / Racing,high,Annual sports title; no ending
FIFA 20,Sports / Racing,high,Annual sports title; no ending
FIFA 19,Sports / Racing,high,Annual sports title; no ending
FIFA 18,Sports / Racing,high,Annual sports title; no ending
FIFA 17,Sports / Racing,high,Annual sports title; no ending
Madden NFL 25,Sports / Racing,high,Annual sports title; no ending
Madden NFL 24,Sports / Racing,high,Annual sports title; no ending
Madden NFL 23,Sports / Racing,high,Annual sports title; no ending
Madden NFL 22,Sports / Racing,high,Annual sports title; no ending
NBA 2K25,Sports / Racing,high,Annual sports title; no ending
NBA 2K24,Sports / Racing,high,Annual sports title; no ending
NBA 2K23,Sports / Racing,high,Annual sports title; no ending
NBA 2K22,Sports / Racing,high,Annual sports title; no ending
NBA 2K21,Sports / Racing,high,Annual sports title; no ending
NBA 2K20,Sports / Racing,high,Annual sports title; no ending
NHL 25,Sports / Racing,high,Annual sports title; no ending
NHL 24,Sports / Racing,high,Annual sports title; no ending
NHL 23,Sports / Racing,high,Annual sports title; no ending
MLB The Show 24,Sports / Racing,high,Annual sports title; no ending
MLB The Show 23,Sports / Racing,high,Annual sports title; no ending
WWE 2K24,Sports / Racing,high,Sports/fighting title; no ending
WWE 2K23,Sports / Racing,high,Sports/fighting title; no ending
PGA Tour 2K23,Sports / Racing,high,Sports title; no ending
F1 24,Sports / Racing,high,Annual racing title; career mode has seasons but no ending
F1 23,Sports / Racing,high,Annual racing title; no ending
F1 22,Sports / Racing,high,Annual racing title; no ending
Gran Turismo 7,Sports / Racing,medium,Has campaign menus but primary mode is endless racing/collecting
Gran Turismo Sport,Sports / Racing,high,Online-focused racing with no ending
Forza Motorsport (2023),Sports / Racing,medium,Has career progression but no definitive ending
Forza Horizon 5,Sports / Racing,medium,"Has ""Hall of Fame"" but no real ending; open world racing"
Forza Horizon 4,Sports / Racing,medium,Open world racing with no real ending
Forza Horizon 3,Sports / Racing,medium,Open world racing with no real ending
Need for Speed Unbound,Sports / Racing,medium,Has story but primary appeal is endless racing
iRacing,Sports / Racing,high,Online racing sim; no ending
Assetto Corsa,Sports / Racing,high,Racing sim with no ending
Assetto Corsa Competizione,Sports / Racing,high,Racing sim with no ending
Project CARS 2,Sports / Racing,high,Racing sim with no ending
Dirt Rally 2.0,Sports / Racing,high,Rally racing with no ending
WRC Generations,Sports / Racing,high,Rally racing with no ending
Wreckfest,Sports / Racing,high,Demolition racing with no ending
TrackMania (2020),Sports / Racing,high,Time trial racing with no ending
Riders Republic,Sports / Racing,high,Extreme sports with no ending
Steep,Sports / Racing,high,Extreme sports with no ending
Tony Hawk's Pro Skater 1+2,Sports / Racing,medium,Has career goals but primary mode is endless skating
Skate 3,Sports / Racing,medium,Has objectives but primary mode is endless skating
Rocket League,Competitive Multiplayer,high,Competitive multiplayer with no ending
Counter-Strike 2,Competitive Multiplayer,high,Competitive multiplayer with no ending
Counter-Strike: Global Offensive,Competitive Multiplayer,high,Competitive multiplayer with no ending
Valorant,Competitive Multiplayer,high,Competitive multiplayer with no ending
Overwatch 2,Competitive Multiplayer,high,Competitive multiplayer with no ending
Dota 2,Competitive Multiplayer,high,MOBA with no ending
League of Legends,Competitive Multiplayer,high,MOBA with no ending
Team Fortress 2,Competitive Multiplayer,high,Multiplayer shooter with no ending
Rainbow Six Siege,Competitive Multiplayer,high,Competitive multiplayer with no ending
Paladins,Competitive Multiplayer,high,Hero shooter with no ending
Smite,Competitive Multiplayer,high,MOBA with no ending
Smite 2,Competitive Multiplayer,high,MOBA with no ending
Heroes of the Storm,Competitive Multiplayer,high,MOBA with no ending
Brawlhalla,Competitive Multiplayer,high,Platform fighter with no ending
MultiVersus,Competitive Multiplayer,high,Platform fighter with no ending
Super Smash Bros. Ultimate,Competitive Multiplayer,medium,Has single-player World of Light but primary mode is endless multiplayer
Splatoon 3,Competitive Multiplayer,medium,Has single-player campaign but primary mode is endless multiplayer
Splatoon 2,Competitive Multiplayer,medium,Has single-player campaign but primary mode is endless multiplayer
Arenas of Valor,Competitive Multiplayer,high,Mobile MOBA with no ending
Wild Rift,Competitive Multiplayer,high,Mobile MOBA with no ending
PUBG Mobile,Battle Royale,high,Mobile battle royale with no ending
Call of Duty Mobile,Competitive Multiplayer,high,Mobile multiplayer shooter with no ending
Among Us,Competitive Multiplayer,high,Social deduction with no ending
Lethal Company,Competitive Multiplayer,high,Co-op horror with no ending; runs are endless
Phasmophobia,Competitive Multiplayer,high,Co-op ghost hunting with no ending; mission-based endless play
Left 4 Dead 2,Competitive Multiplayer,high,Co-op shooter with campaigns but no overarching ending; replay-focused
Killing Floor 2,Competitive Multiplayer,high,Wave-based co-op shooter with no ending
Payday 2,Competitive Multiplayer,high,Co-op heist shooter with no ending
Payday 3,Competitive Multiplayer,high,Co-op heist shooter with no ending
Hunt: Showdown,Competitive Multiplayer,high,Extraction shooter with no ending
Escape from Tarkov,Competitive Multiplayer,high,Extraction shooter with no ending
Insurgency: Sandstorm,Competitive Multiplayer,high,Tactical multiplayer shooter with no ending
Squad,Competitive Multiplayer,high,Tactical multiplayer shooter with no ending
Hell Let Loose,Competitive Multiplayer,high,WWII multiplayer shooter with no ending
Post Scriptum,Competitive Multiplayer,high,WWII multiplayer shooter with no ending
Enlisted,Competitive Multiplayer,high,WWII multiplayer shooter with no ending
War Thunder,Competitive Multiplayer,high,Vehicle combat MMO with no ending
World of Tanks,Competitive Multiplayer,high,Vehicle combat with no ending
World of Warships,Competitive Multiplayer,high,Naval combat with no ending
World of Tanks Blitz,Competitive Multiplayer,high,Mobile vehicle combat with no ending
Hearthstone,Competitive Multiplayer,high,Digital card game with no ending
Magic: The Gathering Arena,Competitive Multiplayer,high,Digital card game with no ending
Legends of Runeterra,Competitive Multiplayer,high,Digital card game with no ending
Yu-Gi-Oh! Master Duel,Competitive Multiplayer,high,Digital card game with no ending
Marvel Snap,Competitive Multiplayer,high,Digital card game with no ending
Gwent: The Witcher Card Game,Competitive Multiplayer,high,Digital card game with no ending
Clash Royale,Competitive Multiplayer,high,Mobile competitive card/tower defense with no ending
Clash of Clans,Competitive Multiplayer,high,Mobile strategy with no ending
Brawl Stars,Competitive Multiplayer,high,Mobile multiplayer with no ending
Auto Chess,Competitive Multiplayer,high,Auto battler with no ending
Teamfight Tactics,Competitive Multiplayer,high,Auto battler with no ending
Dota Underlords,Competitive Multiplayer,high,Auto battler with no ending
Chess.com (app),Competitive Multiplayer,high,Chess with no ending
Lichess,Competitive Multiplayer,high,Chess with no ending
Tabletop Simulator,Sandbox / Creative,high,Board game sandbox with no ending
VRChat,Sandbox / Creative,high,Social VR platform with no ending
Rec Room,Sandbox / Creative,high,Social gaming platform with no ending
Worms W.M.D,Competitive Multiplayer,high,Multiplayer artillery with no ending
Gang Beasts,Competitive Multiplayer,high,Party brawler with no ending
Pummel Party,Competitive Multiplayer,high,Party game with no ending
Golf With Your Friends,Competitive Multiplayer,high,Mini golf multiplayer with no ending
Human: Fall Flat,Sandbox / Creative,medium,Has levels but primarily multiplayer puzzle sandbox
Stumble Guys,Battle Royale,high,Party battle royale with no ending
Dead by Daylight,Competitive Multiplayer,high,Asymmetric multiplayer horror with no ending
Identity V,Competitive Multiplayer,high,Mobile asymmetric multiplayer with no ending
Friday the 13th: The Game,Competitive Multiplayer,high,Asymmetric multiplayer with no ending
The Binding of Isaac: Rebirth,Endless Roguelike,medium,"Has multiple endings but true ""completion"" requires hundreds of hours across all characters/modes; many players treat it as endless"
Noita,Endless Roguelike,medium,"Has endings but randomized runs are effectively endless; completion is extreme"
Spelunky 2,Endless Roguelike,medium,Has endings but run-based structure means most players loop indefinitely
Nuclear Throne,Endless Roguelike,medium,Has a throne but loops make it effectively endless
Enter the Gungeon,Endless Roguelike,medium,"Has endings but loop structure and unlocks make it feel endless for most"
Risk of Rain 2,Endless Roguelike,medium,Runs literally go on forever with looping stages; no forced ending
Vampire Survivors,Endless Roguelike,medium,Has unlocks and achievements but runs are endless score chases
Deep Rock Galactic: Survivor,Endless Roguelike,medium,Roguelike survivor with no definitive ending
Brotato,Endless Roguelike,medium,Survivor-like with endless runs
20 Minutes Till Dawn,Endless Roguelike,medium,Survivor-like with endless runs
Slay the Spire,Endless Roguelike,medium,"Has Act 4 ending but Ascension 20 on all characters is effectively endless for most"
Balatro,Endless Roguelike,medium,Has win conditions but endless difficulty scaling; most treat as endless
Cult of the Lamb,Endless Roguelike,medium,"Has ending for narrative but base management and runs continue; borderline"
Loop Hero,Endless Roguelike,medium,Has a final boss but loop structure is inherently endless
The Sims 4,Simulation / Management,high,Life sim with no ending
The Sims 3,Simulation / Management,high,Life sim with no ending
The Sims 2,Simulation / Management,high,Life sim with no ending
The Sims,Simulation / Management,high,Life sim with no ending
Cities: Skylines,Simulation / Management,high,City builder with no ending
Cities: Skylines II,Simulation / Management,high,City builder with no ending
SimCity (2013),Simulation / Management,high,City builder with no ending
SimCity 4,Simulation / Management,high,City builder with no ending
Planet Coaster,Simulation / Management,high,Theme park builder with no ending
Planet Coaster 2,Simulation / Management,high,Theme park builder with no ending
Planet Zoo,Simulation / Management,high,Zoo builder with no ending
RollerCoaster Tycoon 3,Simulation / Management,high,Theme park builder; scenarios completable but sandbox is primary
RollerCoaster Tycoon 2,Simulation / Management,high,Theme park builder with scenarios but no overall ending
Jurassic World Evolution 2,Simulation / Management,medium,Has campaign but sandbox mode is primary for many
Two Point Hospital,Simulation / Management,medium,Has completable campaign but sandbox/endless mode exists
Two Point Campus,Simulation / Management,medium,Has completable campaign but sandbox mode exists
Prison Architect,Simulation / Management,high,Sandbox management with no ending
Dwarf Fortress,Simulation / Management,high,Fortress mode has no ending; you play until you lose
RimWorld,Simulation / Management,medium,"Has a ""launch the ship"" ending but most players never use it; primary play is endless colony management"
Oxygen Not Included,Simulation / Management,high,Colony survival with no ending
Frostpunk,Simulation / Management,medium,Has completable scenarios but endless mode exists; campaign has endings
Banished,Simulation / Management,high,City builder/survival with no ending
Foundation,Simulation / Management,high,Medieval city builder with no ending
Manor Lords,Simulation / Management,high,Medieval city builder with no ending
Going Medieval,Simulation / Management,high,Colony builder with no ending
Tropico 6,Simulation / Management,medium,Has campaign missions but sandbox is primary
Anno 1800,Simulation / Management,medium,Has campaign but sandbox/endless play is how most play
Civilization VI,Simulation / Management,medium,"Games have victory conditions but no ""ending""; most players play endless rounds"
Civilization V,Simulation / Management,medium,Games have victory conditions but inherently replayable with no ending
Crusader Kings III,Simulation / Management,high,Grand strategy with no ending; games end at date cutoff but no narrative conclusion
Europa Universalis IV,Simulation / Management,high,Grand strategy with no ending
Hearts of Iron IV,Simulation / Management,high,Grand strategy with no ending
Stellaris,Simulation / Management,high,Grand strategy with no ending
Victoria 3,Simulation / Management,high,Grand strategy with no ending
Total War: Warhammer III,Simulation / Management,medium,"Campaign has objectives but sandbox/multiplayer is primary; Immortal Empires has no ending"
Football Manager 2024,Simulation / Management,high,Management sim with no ending; you manage forever
Football Manager 2023,Simulation / Management,high,Management sim with no ending
Football Manager 2022,Simulation / Management,high,Management sim with no ending
Motorsport Manager,Simulation / Management,high,Management sim with no ending
Animal Crossing: New Horizons,Simulation / Management,high,Life sim with no ending
Animal Crossing: New Leaf,Simulation / Management,high,Life sim with no ending
Stardew Valley,Simulation / Management,medium,"Has ""Perfection"" tracker and Grandpa evaluation but no credits or traditional ending; most play indefinitely"
Harvest Moon / Story of Seasons series,Simulation / Management,medium,Farm sims with year cycles but no ending
My Time at Portia,Simulation / Management,medium,Has main story but farm/craft loop continues indefinitely
Farming Simulator 22,Simulation / Management,high,Farming sim with no ending
Farming Simulator 19,Simulation / Management,high,Farming sim with no ending
Euro Truck Simulator 2,Simulation / Management,high,Driving sim with no ending
American Truck Simulator,Simulation / Management,high,Driving sim with no ending
Train Sim World 4,Simulation / Management,high,Train sim with no ending
Microsoft Flight Simulator (2020),Simulation / Management,high,Flight sim with no ending
Microsoft Flight Simulator 2024,Simulation / Management,high,Flight sim with no ending
X-Plane 12,Simulation / Management,high,Flight sim with no ending
Kerbal Space Program,Simulation / Management,high,Space sim sandbox with no ending
Kerbal Space Program 2,Simulation / Management,high,Space sim sandbox with no ending
House Flipper,Simulation / Management,medium,Has jobs to complete but sandbox renovation continues indefinitely
PowerWash Simulator,Simulation / Management,medium,Has career mode that is completable; but many treat it as endless zen
Car Mechanic Simulator 2021,Simulation / Management,high,Workshop sim with no ending
PC Building Simulator 2,Simulation / Management,high,Workshop sim with no ending
Cooking Simulator,Simulation / Management,medium,Has career mode but sandbox is primary
Game Dev Tycoon,Simulation / Management,medium,Has a time limit but most restart; no narrative ending
Software Inc.,Simulation / Management,high,Business sim with no ending
Startup Company,Simulation / Management,high,Business sim with no ending
OpenTTD,Simulation / Management,high,Transport tycoon with no ending
Transport Fever 2,Simulation / Management,high,Transport sim with no ending
Workers & Resources: Soviet Republic,Simulation / Management,high,City builder with no ending
Timberborn,Simulation / Management,high,Beaver city builder with no ending
Surviving Mars,Simulation / Management,medium,Has mysteries (storylines) but sandbox has no ending
Northgard,Simulation / Management,medium,Has campaign but multiplayer/skirmish is primary and endless
They Are Billions,Simulation / Management,medium,Has campaign but survival mode is endless
Parkitect,Simulation / Management,high,Theme park builder with no ending
Megaquarium,Simulation / Management,medium,Has campaign but sandbox is endless
Beat Saber,Music / Rhythm,high,Rhythm game with no ending; score chase
Osu!,Music / Rhythm,high,Rhythm game with no ending; score chase
Guitar Hero III,Music / Rhythm,medium,Has career mode but primary mode is endless score chase
Rock Band 4,Music / Rhythm,medium,Has career mode but primary mode is endless multiplayer/score chase
Crypt of the NecroDancer,Music / Rhythm,medium,Has endings per character but rhythm roguelike structure is effectively endless
Thumper,Music / Rhythm,medium,Has levels and a final boss; borderline
Audiosurf 2,Music / Rhythm,high,Generates tracks from music; no ending
Spin Rhythm XD,Music / Rhythm,high,Rhythm game with no ending
Synth Riders,Music / Rhythm,high,VR rhythm game with no ending
Pistol Whip,Music / Rhythm,medium,Has campaign/scenes but primary mode is score chase
DJ Max Respect V,Music / Rhythm,high,Rhythm game with no ending
Rust,Survival,high,Multiplayer survival with server wipes; no ending
DayZ,Survival,high,Survival with no ending
ARK: Survival Evolved,Survival,medium,Has boss fights and an ascension ending but most play as endless sandbox survival
ARK: Survival Ascended,Survival,medium,Has boss fights but primarily endless sandbox survival
Conan Exiles,Survival,high,Survival sandbox with no ending
7 Days to Die,Survival,high,Zombie survival with no ending; horde nights repeat indefinitely
The Forest,Survival,medium,Has a story ending but many play purely as survival sandbox
Sons of the Forest,Survival,medium,Has a story ending but survival sandbox is primary for many
